cz_generate_data.py
Start Mountain Time: 2025-01-13 08:58:08.410790-07:00
n_cpu_full= 1 , n_cpu_pool= 100

truc1= 400 , truc_tot= 500 , charge_pick= True
truc_tot_2= 500
fidelity (truc=500) = 
[20.074749, -0.21732231391785756] ,
[26.083127, -0.5068310849616271] ,
[31.988187, -0.6492735031657489] ,
[38.08762, -0.3164819120919714] ,
[44.058392, -0.4626675916169598] ,
[50.086935, -0.6889039524047555] ,
[56.087064, -0.9407050230478031] ,
[62.091833, -1.1771180304243227] ,
[68.078194, -1.397194095894895] ,
[74.046222, -1.616922734670189] ,
[80.062878, -1.7703613340921445] ,
[86.032572, -1.7168064528375282] ,
[91.997815, -1.515231729905221] ,
[98.047029, -1.593456033269596] ,
[104.064603, -1.7690442829894246] ,
[110.088003, -2.0365921587336637] ,
[115.947545, -2.2211438184611247] ,
[121.933936, -2.327019823657786] ,
[128.082335, -2.421308704800871] ,
[134.094898, -2.5384669176404695] ,
[140.010415, -2.6917729398826933] ,
[145.916957, -2.2065939352340074] ,
[152.086256, -2.351482431315154] ,
[158.066044, -2.470331165288442] ,
[164.020744, -3.128726201095099] ,
[170.017014, -2.682156761357737] ,
[176.059985, -2.784202646389618] ,
[181.973222, -3.460257874383197] ,
[188.079439, -2.945957457420703] ,
[193.944023, -3.04713362678511] ,
[199.946739, -3.114435911723047] ,
Current Mountain Time: 2025-01-13 09:01:22.542603-07:00
3250.43user 5.37system 3:17.14elapsed 1651%CPU (0avgtext+0avgdata 322664maxresident)k
0inputs+16outputs (0major+462316minor)pagefaults 0swaps
